45075,349873,Juan Hernandez,-0.0442966,-0.044097,8498
3558,72047,Iago Aspas Juncal,0.0220076,0.0452134,3568
84786,259930,Gabriel Matias Fernandez Leites,NA,NA,0
9674,45912,Sergio Alvarez,NA,NA,0
6288,65237,Andreu Fontas,0.120501,0.135549,4236
6572,30677,Gustavo Daniel Cabral,-0.0525992,-0.0329439,2110
6653,175446,Jonathan Castro Otto,0.0647474,0.0648451,18409
7630,63463,Daniel Wass,0.0543942,0.0706497,10067
45621,230222,Alvaro Lemos,-0.0166542,-0.0132206,2730
14307,83895,Marcelo Diaz,NA,NA,0
6911,91763,Pablo Hernandez,-0.031152,-0.0155931,847
45351,336828,Pape Cheikh Diop Gueye,-0.0144377,-0.013979,3965
21636,280701,Theo Bongonda,0.0320034,0.0333101,9285
65215,291247,Dejan Drazic,-0.0291592,-0.0277536,3516
2108,98596,John Alberto Guidetti,0.0906045,0.0969816,6777
6927,92947,Sergi Gomez,0.083536,0.0900945,11769
6771,276111,David Costas Cordal,0.0326362,0.0345284,9608
6889,168959,Nemanja Radoja,0.0567645,0.0582133,6493
31739,272679,Jose Naranjo,0.00467727,0.0058322,5113
6488,64598,Bernardo Espinosa,0.0634453,0.0789798,8046
6781,262939,Johan Mojica,0.0293411,0.0347163,5408
6483,158795,David Timor,0.015383,0.0304726,4753
6417,59323,Christian Ricardo Stuani Curbelo,0.0204942,0.0361057,3652
31542,131275,Choco Lozano,-0.0403116,-0.036385,6990
3666,74228,Marc Muniesa,0.0771517,0.0845805,9180
6887,66099,Carles Planas Antolinez,0.108494,0.112552,10923
31682,242497,Pere Pons Riera,0.0284458,0.0307813,10462
6834,99353,Cristian Portu,-0.0634091,-0.055013,14221
45581,337946,Jairo Izquierdo,-0.0284777,-0.0237538,4032
14187,75287,Seydou Doumbia,0.0943617,0.117933,8227
31323,51663,Pedro Alcala,-0.0586425,-0.0431766,7564
68043,202318,Farid Boulaya,-0.0334971,-0.0308449,4558
6570,69660,Jonas Ramalho,0.0424751,0.0485955,13648
31430,115333,Juanpe,0.010389,0.0164305,6687
31789,132921,Aday,-0.0319428,-0.00848704,1960
45298,261504,Aleix Garcia,-0.0324007,-0.030578,5783
9680,67808,Borja Garcia,0.0601763,0.0655687,9102
72353,382773,Jonathan Josue Rubio Toro,-0.0997453,-0.0980629,2036
72320,531829,Daniel Escriche Romero,-0.0105297,-0.00156348,3601
70159,256567,Aleksandar Jovanovic,-0.0270228,-0.0267022,1509
6490,67546,Jorge Pulido Mayoral,0.0245259,0.02923,5970
6859,56777,Luisinho,NA,NA,0
70226,448628,Javier Galan Gil,-0.0297063,-0.0290346,6762
44843,162056,Gonzalo Melero Manzanares,0.0256889,0.0278911,10235
31611,223073,Eugeni Valderrama,-0.0324467,-0.0316759,8982
43583,210143,Alejandro Gallar Flaguera,-0.0443651,-0.0374444,3583
7382,98512,Serdar Gurler,-0.0209985,-0.0199296,5174
31652,71918,David Ferreiro Quiroga,-0.0205514,-0.00349194,5582
44954,114060,Enrique Gallego Puigsech,NA,NA,0
45081,226012,Soria,0.0136593,0.0163838,5581
67023,333323,Filip Manojlovic,-0.0522044,-0.0479111,1177
31947,221150,Djene Dakonam,-0.00318041,-0.00034492,4021
31497,188838,Bruno Gonzalez,0.0123648,0.0262974,8112
75485,376514,Mathias Olivera Miramontes,0.041699,0.0436361,6252
63817,273152,Nemanja Maksimovic,0.0664419,0.0686766,5117
39092,129693,Gaku Shibasaki,0.0603958,0.0691548,140
74571,398886,Merveille Ndockyt,-0.0538257,-0.0370344,1897
52208,95736,Leandro Chichizola,0.00357445,0.015212,577
31793,246335,Ruben Yanez,0.00713292,0.0113906,5229
3307,70245,Ignasi Miquel Pons,0.015177,0.0202811,4095
6370,102423,Leandro Cabrera,0.0180202,0.0192033,12909
6694,44699,Vitorino Gabriel Pacheco Antunes,-0.00140582,0.0117762,1863
6544,76746,Damian Suarez,0.00897126,0.0265343,840
9668,51426,Markel Bergara,0.0266209,0.0434518,2334
66410,290249,Mauro Wilney Arambarri Rosa,0.0770379,0.078668,5468
70216,339820,Amath Diedhiou,0.0828076,0.0840972,6843
64583,282410,Jose Carlos Lazo Romero,0.00248243,0.00371229,8404
6907,242532,Robert Ibanez,-0.0596786,-0.0567554,6255
6250,51510,Angel Rodriguez,0.0230313,0.0365994,1799
31895,227961,Jaime Mata Arnaiz,-0.0169549,-5.48909e-05,3152
6886,174344,Faycal Fajr,-0.0112675,0.00611287,4979
6346,138803,Francisco Portillo Soler,0.0582096,0.0710344,4491
3011,28285,Daniel Pacheco Lobato,0.0286729,0.0337067,4622
6511,57825,Jorge Molina Vidal,NA,NA,0
6770,129515,Chuli,0.000534932,0.00672622,3757
6527,74230,Pablo Sarabia,0.0295393,0.0374169,11401
6855,165467,Stole Dimitrievski,0.0162677,0.0203454,12375
3653,85289,Jordi Amat Maas,0.0662819,0.0733296,9102
6944,189458,Emiliano Velazquez,-0.00934101,-0.00793792,5515
70395,449796,Alejandro Catena Marugan,-0.0582724,-0.0573879,5076
72321,355627,Sergio Akieme Rodriguez,-0.0466363,-0.0211128,2504
64557,380598,Santiago Comesana Veiga,0.00362288,0.00396632,8950
29904,195605,Jose Angel Pozo la Rosa,0.0274269,0.0284605,10445
2991,74297,Gael Kakuta,0.0353831,0.0368614,7322
6522,182963,Alhassane Bangoura,0.0370406,0.0446599,7268
6106,58497,Alberto Garcia,0.0224254,0.0386366,352
6901,106837,Abdoulaye,0.0533967,0.058199,5156
31856,281773,Jose Leon,0.00533022,0.00622873,5365
5969,30321,Oscar Trejo,0.03208,0.0496236,7133
6732,257062,Alvaro Garcia,0.0452476,0.0496966,7088
6774,288318,Adrian Embarba Blazquez,0.0235874,0.0312576,2903
6520,7923,Roberto Trashorras Gayoso,NA,NA,0
6507,70898,Jose Antonio Dorado,NA,NA,0
6642,46215,Javi Guerra,NA,NA,0
6928,193098,Alexandre Moreno Lopera,-0.0124499,-0.00853208,8984
21885,229604,Geronimo Rulli,0.0524194,0.0607637,9489
39128,229804,Aritz Elustondo Irribarria,0.0408159,0.0434163,9587
6373,142419,Raul Navas,-0.0547313,-0.0351096,2198
70441,289255,Andoni Gorosabel Espinosa,-0.0137729,-0.0135154,5393
6463,59344,Asier Illarramendi Andonegu,0.121706,0.132309,8424
64798,355628,Igor Zubeldia Elorza,0.0655264,0.0676703,12642
6565,99352,Ruben Pardo,0.0571645,0.0613065,10408
6340,126737,Juanmi,0.0518761,0.0562193,7354
6850,122155,Willian Jose,0.0079716,0.00964331,3296
45374,289236,Jon Bautista Orgilles,0.0076944,0.0078016,6666
5529,26065,Miguel Angel Moya,0.116982,0.132194,6845
6714,246291,Diego Llorente,0.0501069,0.0544864,12302
