player_id,player_name,player_role,birth,height,foot,value,league,value_at,nat1,nat2
140082,Armando Sadiku,Centre-Forward,1991-05-27,1.85,right,0.675,SPA1,2017-06-30,Albania,-
101742,Ãngel Trujillo,Centre-Back,1987-09-08,1.77,right,2.25,SPA1,2015-06-30,Spain,-
125931,ToÃ±o,Left-Back,1989-11-07,1.8,left,0.18,SPA1,2015-06-30,Spain,-
25412,Pedro LÃ³pez,Right-Back,1983-11-01,1.74,right,1.35,SPA1,2015-06-30,Spain,-
263856,VÃ­ctor Camarasa,Central Midfield,1994-05-28,1.83,right,2.25,SPA1,2015-06-30,Spain,-
213260,RubÃ©n GarcÃ­a,Attacking Midfield,1993-07-14,1.71,left,2.7,SPA1,2015-06-30,Spain,-
212391,Roger MartÃ­,Centre-Forward,1991-01-03,1.79,right,1.35,SPA1,2015-06-30,Spain,-
243541,Deyverson,Centre-Forward,1991-05-08,1.87,left,0.9,SPA1,2015-06-30,Brazil,-
203778,IvÃ¡n LÃ³pez,Right-Back,1993-08-23,1.75,right,0.9,SPA1,2015-06-30,Spain,-
26199,Verza,Central Midfield,1986-09-29,1.81,right,3.15,SPA1,2015-06-30,Spain,-
211395,Mauricio Cuero,Right Winger,1993-01-28,1.78,right,0.63,SPA1,2015-06-30,Colombia,-
252677,JosÃ© Luis Morales,Centre-Forward,1987-07-23,1.8,right,1.35,SPA1,2015-06-30,Spain,-
25412,Pedro LÃ³pez,Right-Back,1983-11-01,1.74,right,1.35,SPA1,2012-06-30,Spain,-
213260,RubÃ©n GarcÃ­a,Attacking Midfield,1993-07-14,1.71,left,3.6,SPA1,2013-06-30,Spain,-
212391,Roger MartÃ­,Centre-Forward,1991-01-03,1.79,right,0.45,SPA1,2013-06-30,Spain,-
25412,Pedro LÃ³pez,Right-Back,1983-11-01,1.74,right,1.08,SPA1,2013-06-30,Spain,-
203778,IvÃ¡n LÃ³pez,Right-Back,1993-08-23,1.75,right,0.27,SPA1,2014-06-30,Spain,-
125931,ToÃ±o,Left-Back,1989-11-07,1.8,left,0.09,SPA1,2014-06-30,Spain,-
25412,Pedro LÃ³pez,Right-Back,1983-11-01,1.74,right,1.35,SPA1,2014-06-30,Spain,-
213260,RubÃ©n GarcÃ­a,Attacking Midfield,1993-07-14,1.71,left,4.5,SPA1,2014-06-30,Spain,-
252677,JosÃ© Luis Morales,Centre-Forward,1987-07-23,1.8,right,0.45,SPA1,2014-06-30,Spain,-
221321,JoaquÃ­n FernÃ¡ndez,Centre-Back,1996-05-31,1.9,left,0.9,SPA1,2018-06-30,Spain,-
260230,MoisÃ©s Delgado,Left-Back,1994-04-18,1.72,left,0.27,SPA1,2018-06-30,Spain,-
62144,AntoÃ±ito,Right-Back,1987-12-24,1.75,right,0.45,SPA1,2018-06-30,Spain,-
247250,RubÃ©n Alcaraz,Central Midfield,1991-05-01,1.83,right,0.72,SPA1,2018-06-30,Spain,-
404688,Waldo Rubio,Left Winger,1995-08-17,1.81,right,0.135,SPA1,2018-06-30,Spain,-
65263,Jordi Masip,Goalkeeper,1989-01-03,1.8,right,0.9,SPA1,2018-06-30,Spain,-
51667,Kiko Olivas,Centre-Back,1988-08-21,1.84,right,0.9,SPA1,2018-06-30,Spain,-
357884,Fernando Calero,Centre-Back,1995-09-14,1.84,right,0.54,SPA1,2018-06-30,Spain,-
71204,Javi Moyano,Right-Back,1986-02-23,1.8,right,0.36,SPA1,2018-06-30,Spain,-
207922,Luismi,Defensive Midfield,1992-05-05,1.79,right,0.63,SPA1,2018-06-30,Spain,-
307519,Fede San Emeterio,Central Midfield,1997-03-16,1.76,right,0.9,SPA1,2018-06-30,Spain,-
288453,Antonio DomÃ­nguez,Attacking Midfield,1993-04-04,1.78,left,0.18,SPA1,2018-06-30,Spain,-
337066,Toni Villa,Left Winger,1995-01-07,1.72,right,0.72,SPA1,2018-06-30,Spain,-
251106,Enes Ãnal,Centre-Forward,1997-05-10,1.87,right,7.2,SPA1,2018-06-30,Turkey,-
256429,Sergi Guardiola,Centre-Forward,1991-05-29,1.85,right,1.8,SPA1,2018-06-30,Spain,-
338425,Ãlex Berenguer,Left Winger,1995-07-04,1.75,right,0.27,SPA1,2016-06-30,Spain,-
71206,Nauzet PÃ©rez,Goalkeeper,1985-03-01,1.9,right,0.63,SPA1,2016-06-30,Spain,-
298589,David GarcÃ­a,Centre-Back,1994-02-14,1.85,right,0.72,SPA1,2016-06-30,Spain,-
42920,Fran MÃ©rida,Central Midfield,1990-03-04,1.74,left,0.54,SPA1,2016-06-30,Spain,-
145769,Sergio LeÃ³n,Centre-Forward,1989-01-06,1.76,right,0.72,SPA1,2016-06-30,Spain,-
234811,Rui Silva,Goalkeeper,1994-02-07,1.91,left,0.81,SPA1,2016-06-30,Portugal,-
137648,Sverrir Ingi Ingason,Centre-Back,1993-08-05,1.88,right,0.9,SPA1,2016-06-30,Iceland,-
170472,Dimitri Foulquier,Right-Back,1993-03-23,1.83,right,2.25,SPA1,2016-06-30,Guadeloupe,France
73092,Rene Krhin,Defensive Midfield,1990-05-21,1.89,right,2.7,SPA1,2016-06-30,Slovenia,-
42714,Mehdi Carcela-GonzÃ¡lez,Right Winger,1989-07-01,1.79,left,4.5,SPA1,2016-06-30,Morocco,Belgium
129893,Molla WaguÃ©,Centre-Back,1991-02-21,1.91,right,1.8,SPA1,2016-06-30,Mali,France
93759,Matthieu Saunier,Centre-Back,1990-02-07,1.81,right,0.9,SPA1,2016-06-30,France,-
63689,Fran Rico,Central Midfield,1987-08-03,1.78,right,2.7,SPA1,2016-06-30,Spain,-
294568,Omer Atzili,Right Winger,1993-07-27,1.77,left,0.675,SPA1,2016-06-30,Israel,-
113045,RubÃ©n PÃ©rez,Defensive Midfield,1989-04-26,1.78,right,2.25,SPA1,2015-06-30,Spain,-
63689,Fran Rico,Central Midfield,1987-08-03,1.78,right,2.7,SPA1,2015-06-30,Spain,-
133794,Edgar MÃ©ndez,Right Winger,1990-01-02,1.87,right,2.25,SPA1,2015-06-30,Spain,-
185245,Jhon CÃ³rdoba,Centre-Forward,1993-05-11,1.88,right,2.25,SPA1,2015-06-30,Colombia,-
170472,Dimitri Foulquier,Right-Back,1993-03-23,1.83,right,2.7,SPA1,2015-06-30,Guadeloupe,France
73092,Rene Krhin,Defensive Midfield,1990-05-21,1.89,right,2.25,SPA1,2015-06-30,Slovenia,-
63689,Fran Rico,Central Midfield,1987-08-03,1.78,right,0.9,SPA1,2012-06-30,Spain,-
63689,Fran Rico,Central Midfield,1987-08-03,1.78,right,0.72,SPA1,2013-06-30,Spain,-
63689,Fran Rico,Central Midfield,1987-08-03,1.78,right,1.62,SPA1,2014-06-30,Spain,-
226006,Emanuel InsÃºa,Left-Back,1991-04-10,1.82,left,1.08,SPA1,2014-06-30,Argentina,Spain
170472,Dimitri Foulquier,Right-Back,1993-03-23,1.83,right,1.35,SPA1,2014-06-30,Guadeloupe,France
185245,Jhon CÃ³rdoba,Centre-Forward,1993-05-11,1.88,right,0.9,SPA1,2014-06-30,Colombia,-
44735,Aythami Artiles,Centre-Back,1986-04-02,1.85,right,1.35,SPA1,2016-06-30,Spain,-
303140,Mauricio Lemos,Centre-Back,1995-12-28,1.87,right,0.72,SPA1,2016-06-30,Uruguay,-
64363,Dani Castellano,Left-Back,1987-11-02,1.8,left,1.08,SPA1,2016-06-30,Spain,-
223068,Tana,Attacking Midfield,1990-09-20,1.69,left,1.35,SPA1,2016-06-30,Spain,-
95438,Marko Livaja,Centre-Forward,1993-08-26,1.82,right,2.7,SPA1,2016-06-30,Croatia,-
16922,Kevin-Prince Boateng,Centre-Forward,1987-03-06,1.86,right,1.8,SPA1,2016-06-30,Ghana,Germany
203043,Pedro Bigas,Centre-Back,1990-05-15,1.81,left,1.35,SPA1,2016-06-30,Spain,-
228584,David SimÃ³n,Right-Back,1988-12-16,1.79,right,1.35,SPA1,2016-06-30,Spain,-
153236,Vicente GÃ³mez,Defensive Midfield,1988-08-31,1.87,left,1.08,SPA1,2016-06-30,Spain,-
202984,Roque Mesa,Central Midfield,1989-06-07,1.72,right,1.8,SPA1,2016-06-30,Spain,-
153238,Jonathan Viera,Attacking Midfield,1989-10-21,1.71,right,3.15,SPA1,2016-06-30,Spain,-
110366,Sergio Araujo,Centre-Forward,1992-01-28,1.8,right,1.8,SPA1,2016-06-30,Argentina,-
96540,Alfredo OrtuÃ±o,Centre-Forward,1991-01-21,1.82,both,0.9,SPA1,2016-06-30,Spain,-
203043,Pedro Bigas,Centre-Back,1990-05-15,1.81,left,4.5,SPA1,2017-06-30,Spain,-
184767,Ximo Navarro,Centre-Back,1990-01-23,1.76,right,1.8,SPA1,2017-06-30,Spain,-
153238,Jonathan Viera,Attacking Midfield,1989-10-21,1.71,right,9.0,SPA1,2017-06-30,Spain,-
223068,Tana,Attacking Midfield,1990-09-20,1.69,left,3.15,SPA1,2017-06-30,Spain,-
45121,LoÃ¯c RÃ©my,Centre-Forward,1987-01-02,1.85,right,8.1,SPA1,2017-06-30,France,-
110366,Sergio Araujo,Centre-Forward,1992-01-28,1.8,right,1.8,SPA1,2017-06-30,Argentina,-
303140,Mauricio Lemos,Centre-Back,1995-12-28,1.87,right,9.0,SPA1,2017-06-30,Uruguay,-
44735,Aythami Artiles,Centre-Back,1986-04-02,1.85,right,0.9,SPA1,2017-06-30,Spain,-
64363,Dani Castellano,Left-Back,1987-11-02,1.8,left,3.6,SPA1,2017-06-30,Spain,-
228584,David SimÃ³n,Right-Back,1988-12-16,1.79,right,1.35,SPA1,2017-06-30,Spain,-
153236,Vicente GÃ³mez,Defensive Midfield,1988-08-31,1.87,left,3.15,SPA1,2017-06-30,Spain,-
30929,Gabriel PeÃ±alba,Central Midfield,1984-09-23,1.94,right,1.08,SPA1,2017-06-30,Argentina,Italy
5957,Alberto Aquilani,Central Midfield,1984-07-07,1.86,right,0.9,SPA1,2017-06-30,Italy,-
216463,Imoh Ezekiel,Centre-Forward,1993-10-24,1.78,right,2.7,SPA1,2017-06-30,Nigeria,-
44735,Aythami Artiles,Centre-Back,1986-04-02,1.85,right,0.9,SPA1,2015-06-30,Spain,-
64363,Dani Castellano,Left-Back,1987-11-02,1.8,left,0.36,SPA1,2015-06-30,Spain,-
153236,Vicente GÃ³mez,Defensive Midfield,1988-08-31,1.87,left,0.9,SPA1,2015-06-30,Spain,-
153238,Jonathan Viera,Attacking Midfield,1989-10-21,1.71,right,3.15,SPA1,2015-06-30,Spain,-
110366,Sergio Araujo,Centre-Forward,1992-01-28,1.8,right,1.62,SPA1,2015-06-30,Argentina,-
203043,Pedro Bigas,Centre-Back,1990-05-15,1.81,left,0.9,SPA1,2015-06-30,Spain,-
228584,David SimÃ³n,Right-Back,1988-12-16,1.79,right,0.45,SPA1,2015-06-30,Spain,-
202984,Roque Mesa,Central Midfield,1989-06-07,1.72,right,0.36,SPA1,2015-06-30,Spain,-
